Topic,Count,Percentage,Seconds,KB_Article
    Disconnect Notice Trial [WW-INQUIRY] ,1,0,34,Water Works - KB Team
    Recycling Information [SW-INQUIRY] ,709,0.35,34.95909732,Solid Waste - KB Team
    Regular Weekly Schedule Inquiry [SW-INQUIRY] ,135,0.07,68.46666667,Solid Waste - KB Team
*No Article Found*,12270,6.06,49.86593317,Sa- Adoxio
311-INQUIRY: 211 Information,358,0.18,36.62849162,311 - KB Team
311-INQUIRY: 811 Information,108,0.05,36.66666667,311 - KB Team
311-INQUIRY: American Electric Power,423,0.21,48.0141844,311 - KB Team
311-INQUIRY: Federal Services Information,112,0.06,58.40178571,311 - KB Team
311-INQUIRY: NIPSCO,69,0.03,44.73913043,311 - KB Team
911 Transfer,3,0,66,Police Department - KB Team
ACCC - General Complaint,36,0.02,191.3888889,Animal Control - KB Team
ACGI - General Information,3807,1.88,59.18623588,Animal Control - KB Team
ADMI - General Information,272,0.13,49.59558824,Administration and Finance - KB Team
AEP General Information,369,0.18,42.19783198,311 Office
AF-INQUIRY: Accounts Payable - Vendor Inquiries,19,0.01,61.05263158,Administration and Finance - KB Team
Abandoned Container [SW-REQUEST] ,10,0,168.1,Solid Waste - KB Team
Abandoned Vehicle Removal Waiver (Private Property) [CODE-REQUEST],8,0,253.75,Code Enforcement - KB Team
Abandoned Vehicles [CODE-INQUIRY],170,0.08,213.9588235,Code Enforcement - KB Team
Account Balance or Due Date,3055,1.51,90.30638298,Sa- Adoxio
Account Number,572,0.28,68.32692308,Water Works - KB Team
Account Shut Off Amount,6022,2.97,77.10860179,Sa- Adoxio
Alley Maintenance (In Season),352,0.17,118.9943182,Streets - KB Team
Alley Maintenance (Out of Season),117,0.06,136.1623932,Streets - KB Team
Alley Overgrowth Management Program [CODE-INQUIRY],2,0,324.5,Code Enforcement - KB Team
Alley to Curb Pick Inquiry,922,0.46,157.6095445,Matt Coats
Alley to Curbside [SW-REQUEST] ,155,0.08,138.2516129,Solid Waste - KB Team
Animal Welfare Call,95,0.05,152.8631579,Animal Control - KB Team
Animal and Pet Adoption,201,0.1,92.50746269,Animal Control - KB Team
Animal and Pet License Information,155,0.08,85.71612903,Animal Control - KB Team
Automotive Repair [CODE-INQUIRY],7,0,269.2857143,Code Enforcement - KB Team
BLDG - General Concern,26,0.01,37.53846154,Building - KB Team
BUIL - Miscellaneous Concern,437,0.22,45.74141876,Building - KB Team
BUILD-INQUIRY: Fence Regulations & Permits,9,0,44,Building - KB Team
BUILD-INQUIRY: Permit Fees,8,0,69.875,Building - KB Team
BUILD-REQUEST: Commercial Building Permits,2,0,23.5,Building - KB Team
BUILD-REQUEST: Contractor Licensing & Registration,1,0,73,Building - KB Team
BUILD-REQUEST: Inspections,4,0,73,Building - KB Team
BUILD-REQUEST: Residential Building Permits,25,0.01,83.84,Building - KB Team
Bank Draft Inquiry,282,0.14,95.53546099,Water Works - KB Team
Barking Dog,47,0.02,132.2553191,Animal Control - KB Team
Basement Flooding,40,0.02,147.525,Streets - KB Team
Basic Rates and Charges,74,0.04,178.7972973,Water Works - KB Team
Basketball Hoop in Public Right of Way [CODE-INQUIRY],18,0.01,168.6111111,Code Enforcement - KB Team
Bed Bugs [CODE-INQUIRY],2,0,138,Code Enforcement - KB Team
Best Week Ever [EXP-INQUIRY],11,0.01,83.72727273,Parks - KB Team
Billing Disputes [ww-inquiry],52,0.03,248.5961538,Water Works - KB Team
Block Party Inquiries,15,0.01,38.86666667,Public Works - KB Team
Boil Water Advisory [WW-INQUIRY],4,0,119.75,Water Works - KB Team
Bright Light Nuisance [CODE-INQUIRY],2,0,449.5,Code Enforcement - KB Team
Building Code Violation,46,0.02,39.65217391,Building - KB Team
Building Department Jurisdiction [BUILD-INQUIRY],9,0,39.77777778,Building - KB Team
CLERK-INQUIRY: Council Member Information,35,0.02,81.45714286,City Clerk - KB Team
CLERK-INQUIRY: Municipal Code,2,0,41,City Clerk - KB Team
COMP - General Complaint,334,0.16,227.4101796,Solid Waste - KB Team
Cab License Information,3,0,103.6666667,Code Enforcement - KB Team
Calls from Veterans,12,0.01,2728.583333,311 Office
Catch Basin Cave-In,27,0.01,141.9259259,Streets - KB Team
Check for Water Leaks Inside,9,0,241.3333333,Water Works - KB Team
Christmas Tree Pick-up,894,0.44,56.3590604,Kheran Joseph
Clerk's Office,235,0.12,63.60851064,City Clerk - KB Team
Code Enforcement Fees/Fines [CODE-INQUIRY],43,0.02,210.6511628,Code Enforcement - KB Team
Code Enforcement Hearings [CODE-INQUIRY],44,0.02,211.1590909,Code Enforcement - KB Team
Code Enforcement Homeless Information [CODE-INQUIRY],3,0,222.3333333,Code Enforcement - KB Team
Complaint Escalated to Mayor's Office,683,0.34,214.8140556,Matt Coats
Complaint from Taxi Company/Operator ,1,0,221,Code Enforcement - KB Team
Compost Information,25,0.01,50.84,Lucy Macfarlane
Conducting Business with the City,17,0.01,155.1764706,Engineering - KB Team
"Contact Info, Hours & Locations [WW-INQUIRY]",110,0.05,124.2909091,Water Works - KB Team
"Contact Info, Hours, and Locations",132,0.07,120.969697,Water Works - KB Team
Container Lost Due to Flood [SW-REQUEST] ,4,0,175.5,Solid Waste - KB Team
Container Repair,1,0,66,Lucy Macfarlane
Container Repair Request,833,0.41,85.82593037,Solid Waste - KB Team
Container Upsize/Downsize,504,0.25,95.71428571,Solid Waste - KB Team
Contamination Fee [SW-INQUIRY],3,0,303.3333333,Solid Waste - KB Team
Continuous Enforcement Order [CODE-INQUIRY],14,0.01,327.1428571,Code Enforcement - KB Team
County Recycling Charges,163,0.08,186.4355828,Kheran Joseph
County Services Information,7036,3.47,41.83925526,Lucy Macfarlane
County Services Information [311-INQUIRY] ,233,0.12,37.527897,311 - KB Team
County Services Transfer,136,0.07,37.76470588,311 Office
Crack in Street,7,0,141.8571429,Streets - KB Team
Curb Damage,9,0,172.4444444,Streets - KB Team
Curb and Sidewalk Program [ST-SERVICE] ,86,0.04,179.255814,Streets - KB Team
Curb and Sidewalk Reimbursement Program,81,0.04,109.0987654,Engineering - KB Team
Customer Compliments,59,0.03,97.72881356,Solid Waste - KB Team
Customer Inquiries Following IVR Call,2741,1.35,74.39036848,Lucy Macfarlane
Customer Property Damage,21,0.01,206.9047619,Solid Waste - KB Team
Customer Property Damage [SW-INCIDENT] ,11,0.01,202.3636364,Solid Waste - KB Team
Customer Return Call to Approve or Decline Extra Pick-up Charge [SW-INQUIRY] ,4,0,231.25,Solid Waste - KB Team
DCGC - General Concerns,325,0.16,59.16923077,DCI - Dispatch
DCI Complaints,81,0.04,56.40740741,DCI - Dispatch
DCI South Bend Industrial Revolving Loan,2,0,67,DCI - Dispatch
DCI Tax Abatement Inquiries,1,0,105,DCI - Dispatch
DCI- INQUIRY: LimeBike Inquiry,171,0.08,77.36842105,DCI - Dispatch
DCI-INQUIRY: Business Zoning Requirements,1,0,19,DCI - Dispatch
DCI-REQUEST: Business Licensing,55,0.03,45.36363636,DCI - Dispatch
DCI-SERVICE: Industrial Revolving Loan (IRF),1,0,84,DCI - Dispatch
DCI-SERVICE: South Bend Home Improvement Program (SBHIP),140,0.07,58.24285714,DCI - Dispatch
DCI-SERVICE: Tax Abatement,1,0,291,DCI - Dispatch
Dead Animal,886,0.44,98.37697517,Matt Coats
Dead Animal [ST-SERVICE],75,0.04,88.53333333,Streets - KB Team
Debris in Street,228,0.11,115.8903509,Streets - KB Team
Deferred Payment Plan,15,0.01,129.5333333,Water Works - KB Team
Delayed Trash Service ,371,0.18,36.67654987,Kheran Joseph
Demolition Bid Process [CODE-INQUIRY],10,0,222.2,Code Enforcement - KB Team
Did Not Receive Mayor's Letter,1,0,61,Mayor's Office - KB Team
Did not receive bill,65,0.03,241.4461538,Water Works - KB Team
Discolored Water,115,0.06,89.15652174,Water Works - KB Team
Discolored Water (Rusty/Yellow/Brown/Black) [WW-INQUIRY],30,0.01,143.2,Water Works - KB Team
Dispute or Appeal an Invoice/Bill [CODE-REQUEST],29,0.01,242.7931034,Code Enforcement - KB Team
Dog Bite,23,0.01,77.04347826,Animal Control - KB Team
Dog at Large,149,0.07,112.8120805,Animal Control - KB Team
Downsize Meter,31,0.02,312.3870968,Water Works - KB Team
Downspout Disconnect Program,319,0.16,65.65203762,Engineering - KB Team
Downspout Disconnect Program [ENG-REQUEST] ,297,0.15,103.2424242,Engineering - KB Team
Downspout General Concern,92,0.05,89.61956522,Engineering - KB Team
Duplicate Payments,6,0,1138.333333,Water Works - KB Team
ENCO - General Complaint,3,0,189.3333333,Engineering - KB Team
ENG - General Concern,1208,0.6,92.75496689,Engineering - KB Team
ENG-INQUIRY: Engineering General Concern,504,0.25,106.7142857,Engineering - KB Team
ENG-INQUIRY: Sidewalk Concerns,23,0.01,120.4347826,Engineering - KB Team
ENG-INQUIRY: St. Joseph County Projects,7,0,103.7142857,Engineering - KB Team
EXP-INQUIRY: DTSB Art Beat,2,0,37,Parks - KB Team
EXP-INQUIRY: My SB Parks & Trails,5,0,298.2,Parks - KB Team
EXP-REQUEST: Four Winds Field,2,0,20,Parks - KB Team
EXP-REQUEST: Use of Parks for an Event,5,0,78,Parks - KB Team
East Race Concert Series [EXP-INQUIRY],1,0,19,Parks - KB Team
Electricity Shut-Off,3,0,83,Mayor's Office - KB Team
Engineering,1,0,15,Sa- Adoxio
Executive Repair Agreement [CODE-INQUIRY],5,0,493.6,Code Enforcement - KB Team
Extra Pick-up Miss [SW-INCIDENT],40,0.02,99.325,Solid Waste - KB Team
Extra Trash Pick-up [SW-REQUEST],5621,2.78,80.10496353,Solid Waste - KB Team
Extra Trash Pickup,15757,7.78,72.54369487,Matt Coats
Extra Yard Waste Pickup,4758,2.35,74.97835225,Matt Coats
Extra Yard Waste Pickup Miss,28,0.01,110.6785714,Solid Waste - KB Team
FACS-INCIDENT: Park Restroom Maintenance,1,0,490,Parks - KB Team
FACS-INCIDENT: Tall Grass in a Park,39,0.02,109,Parks - KB Team
FACS-REQUEST: Graffiti Removal,9,0,95.77777778,Parks - KB Team
FACS-REQUEST: Park Leaf Removal,3,0,193.6666667,Parks - KB Team
FACS-REQUEST: Park Trash Removal,5,0,266.2,Parks - KB Team
FACS-REQUEST: Parking Garage Maintenance,25,0.01,101.76,Parks - KB Team
FACS-REQUEST: Playground Maintenance,1,0,55,Parks - KB Team
FACS-REQUEST: Trail Maintenance,3,0,173.6666667,Parks - KB Team
FIRE - General Information ,126,0.06,54.73809524,Fire Department - KB Team
FOR-INQUIRY: River Window,3,0,158.3333333,Parks - KB Team
FOR-INQUIRY: Tree Ownership,8,0,139.625,Parks - KB Team
FOR-REQUEST: Appealing Tree Enforcement Letter,1,0,54,Parks - KB Team
FOR-REQUEST: Forestry Invoice payments,1,0,30,Parks - KB Team
FOR-REQUEST: Tree Permit,45,0.02,118.5777778,Parks - KB Team
FOR-REQUEST: Tree on private property endangering public ,10,0,189.6,Parks - KB Team
FOR-REQUEST: Tree or Limb in Public Right of Way,52,0.03,169.1153846,Parks - KB Team
FOR-SERVICE: Storm Damage Removal Policy,6,0,171.6666667,Parks - KB Team
Facility or Ball Diamond Reservation,3,0,32,Parks - KB Team
Federal Service Information,66,0.03,61.71212121,311 Office
Fence Information or Complaint,1,0,122,Building - KB Team
File A Police Report [SBPD-INQUIRY],11,0.01,89.54545455,Police Department - KB Team
Filling Out a W-9 [AF-INQUIRY] ,1,0,229,Administration and Finance - KB Team
Finance General Information,22,0.01,54.5,Administration and Finance - KB Team
Finding City Ordinances and Resolutions [CLERK-INQUIRY],8,0,159.625,City Clerk - KB Team
Fire Hydrant Flushing [WW-INQUIRY] ,4,0,61.75,Water Works - KB Team
Fire Hydrant Hit,25,0.01,210.56,Water Works - KB Team
Flood Damage Extra Pick-up [SW-REQUEST] ,331,0.16,107.2749245,Danielle Fulmer
Flood Plains & Wetlands [BUILD-INQUIRY],1,0,18,Building - KB Team
Fridays by the Fountain [EXP-INQUIRY],3,0,14.66666667,Parks - KB Team
Frozen Water Lines [WW-INQUIRY] ,6,0,324.3333333,Water Works - KB Team
General Snow Information,94,0.05,75.09574468,Streets - KB Team
General Tree Concerns,99,0.05,130.2323232,Parks - KB Team
Giving or Seeking Information,33,0.02,126.3939394,Mayor's Office - KB Team
Golf Information,2,0,134.5,Parks - KB Team
Good Samaritan Law [CODE-INQUIRY],4,0,49.5,Code Enforcement - KB Team
Graffiti,18,0.01,159.5,Parks - KB Team
Graffiti Waiver Form [CODE-REQUEST],1,0,239,Code Enforcement - KB Team
Grass- Environmental Violation [CODE-SERVICE],711,0.35,123.5879044,Code Enforcement - KB Team
HR-INQUIRY: How do I apply for a job at the City? ,33,0.02,67.81818182,Administration and Finance - KB Team
HR-INQUIRY: What is the status of my application?,4,0,106.5,Administration and Finance - KB Team
HR-INQUIRY: What jobs are currently available at the City?,14,0.01,76.07142857,Administration and Finance - KB Team
HRMS - General Information,626,0.31,38.65495208,Administration and Finance - KB Team
High Bill or Consumption Questions,311,0.15,194.2250804,Water Works - KB Team
House Numbers Regulations [CODE-INQUIRY] ,2,0,186,Code Enforcement - KB Team
How to Check on the Code Enforcement Status of a Property [CODE-INQUIRY],15,0.01,134.8666667,Code Enforcement - KB Team
Howard Park Rec Center Information,9,0,97.77777778,Parks - KB Team
I Have a Question about My Letter [CODE-INQUIRY],321,0.16,194.5140187,Code Enforcement - KB Team
IVR Transfer for Payment,3545,1.75,59.82961918,Water Works - KB Team
IVR Troubles,944,0.47,213.5985169,Water Works - KB Team
Lamp Post Information,17,0.01,98.64705882,Engineering - KB Team
Landlord Registration Overview [CODE-INQUIRY],43,0.02,43.86046512,Code Enforcement - KB Team
Landlord and Tenant Relations; Tenant Rights [CODE-INQUIRY],2,0,139.5,Code Enforcement - KB Team
Lawn Damage from Plow,20,0.01,166,Streets - KB Team
Leaf Pick-Up,33,0.02,70.81818182,Streets - KB Team
Legal General Information,417,0.21,93.30935252,Legal - KB Team
Litter- Environmental Violation [CODE-SERVICE] ,454,0.22,185.8259912,Code Enforcement - KB Team
Loose Leaf General Information,2666,1.32,51.30832708,Matt Coats
Loose Leaf Miss,318,0.16,136.5220126,Streets - KB Team
Low Pressure Check,84,0.04,109.2261905,Water Works - KB Team
Mailbox Damage from Plow,4,0,157,Streets - KB Team
Material and Department Information [OR-INQUIRY],3,0,42.33333333,Danielle Fulmer
Mayor's Office General Information,907,0.45,109.4939361,Mayor's Office - KB Team
Mayor's Office News,107,0.05,169.0841121,Mayor's Office - KB Team
Mayor's Office Only,47,0.02,283.7021277,Mayor's Office - KB Team
Mayor's Schedule,77,0.04,114.3896104,Mayor's Office - KB Team
Meter Exchange,30,0.01,86.36666667,Water Works - KB Team
Miscellaneous City Information,366,0.18,65.08743169,311 Office
Miscellaneous Trash Information,12935,6.39,75.1381523,Solid Waste - KB Team
Missed Extra Trash Pick-Up,36,0.02,191.0555556,Solid Waste - KB Team
Missing or Dislodge Manhole Cover,27,0.01,151.3703704,Streets - KB Team
Mold [CODE-INQUIRY],3,0,157.3333333,Code Enforcement - KB Team
Mulch and Compostable Materials Information,1685,0.83,44.21068249,Lucy Macfarlane
Multi-Family in a Single-Family Residence [CODE-INQUIRY],4,0,565,Code Enforcement - KB Team
NIPSCO General Information,55,0.03,75.36363636,311 Office
Neighborhood Cleanup [CODE-REQUEST],12,0.01,573.5,Code Enforcement - KB Team
Neighborhood Parking Guidelines [CODE-INQUIRY],87,0.04,200.1264368,Code Enforcement - KB Team
New Solid Waste Service Information [SW-INQUIRY],1098,0.54,110.5510018,Solid Waste - KB Team
No Article Found - Administration and Finance,187,0.09,49.73796791,Administration and Finance - KB Team
No Article Found - Animal Care and Control,135,0.07,73.4962963,Animal Control - KB Team
No Article Found - Building ,42,0.02,54.97619048,Building - KB Team
No Article Found - City Clerk,1,0,69,City Clerk - KB Team
No Article Found - Code Enforcement,642,0.32,86.47819315,Code Enforcement - KB Team
No Article Found - Community Investment,113,0.06,80.76106195,DCI - Dispatch
No Article Found - Engineering,115,0.06,92.14782609,Engineering - KB Team
No Article Found - Fire,7,0,71.85714286,Fire Department - KB Team
No Article Found - Mayor's Office,7,0,132.1428571,Mayor's Office - KB Team
No Article Found - Police,32,0.02,150.1875,Police Department - KB Team
No Article Found - Sewers,32,0.02,109.1875,Streets - KB Team
No Article Found - Streets,80,0.04,122.725,Streets - KB Team
No Article Found - Traffic and Lighting,7,0,183.7142857,Streets - KB Team
"No Article Found - Venues, Parks, and Arts",119,0.06,144.1344538,Parks - KB Team
No Article Found - Water Works,1355,0.67,111.4361624,Danielle Fulmer
OR-SERVICE: Compost,77,0.04,64.24675325,Danielle Fulmer
OR-SERVICE: Mulch,48,0.02,40.22916667,Danielle Fulmer
Orphaned Wildlife,50,0.02,80.16,Animal Control - KB Team
